Date and Time,input_2,input_1,in_1_calculated
2020-04-13 02:48:02+02:00,10.785,11.02,
2020-04-13 02:51:02+02:00,11.929,10.02,
2020-04-13 02:54:02+02:00,9.003,7.42,
2020-04-13 02:57:08+02:00,8.447,9.72,
2020-04-13 03:00:12+02:00,8.737,7.52,
2020-04-13 03:03:12+02:00,11.138,6.72,
2020-04-13 03:06:12+02:00,11.608,4.52,
2020-04-13 03:09:12+02:00,10.335,5.12,
2020-04-13 03:12:13+02:00,10.331,5.52,
2020-04-13 03:15:13+02:00,10.607,4.92,
2020-04-13 03:18:13+02:00,8.452,5.12,
2020-04-13 03:21:13+02:00,9.098,6.92,
2020-04-13 03:24:14+02:00,10.378,7.32,
2020-04-13 03:27:14+02:00,9.841,5.92,
2020-04-13 03:30:14+02:00,9.722,5.92,
2020-04-13 03:33:14+02:00,8.36,8.32,
2020-04-13 03:36:14+02:00,9.326,6.52,
2020-04-13 03:39:15+02:00,9.85,6.72,
2020-04-13 03:42:15+02:00,10.898,6.32,
2020-04-13 03:45:15+02:00,9.419,4.52,
2020-04-13 03:48:15+02:00,8.125,4.52,
2020-04-13 03:51:15+02:00,10.406,5.12,
2020-04-13 03:54:16+02:00,10.614,4.12,
2020-04-13 03:57:16+02:00,11.319,4.92,
2020-04-13 04:00:16+02:00,9.753,4.52,
2020-04-13 04:03:16+02:00,11.086,5.12,
2020-04-13 04:06:16+02:00,10.847,4.32,
2020-04-13 04:09:17+02:00,9.13,5.12,
2020-04-13 04:12:17+02:00,9.817,3.92,
2020-04-13 04:15:17+02:00,11.08,6.52,
2020-04-13 04:18:17+02:00,10.632,4.32,
2020-04-13 04:21:17+02:00,10.763,4.32,
2020-04-13 04:24:18+02:00,9.211,5.72,
2020-04-13 04:27:18+02:00,10.929,5.92,
2020-04-13 04:30:18+02:00,9.539,5.52,
2020-04-13 04:33:18+02:00,11.007,4.72,
2020-04-13 04:36:19+02:00,9.822,4.12,
2020-04-13 04:39:19+02:00,8.121,4.72,
2020-04-13 04:42:19+02:00,11.262,4.52,
2020-04-13 04:45:19+02:00,8.134,9.12,
2020-04-13 04:48:19+02:00,9.979,9.52,
2020-04-13 04:51:20+02:00,10.84,12.92,
2020-04-13 04:54:20+02:00,11.713,11.72,
2020-04-13 04:57:20+02:00,10.303,11.32,
2020-04-13 05:00:20+02:00,8.617,11.92,
2020-04-13 05:03:21+02:00,8.57,11.82,
2020-04-13 05:06:22+02:00,8.252,12.42,
2020-04-13 05:09:22+02:00,8.015,12.02,
2020-04-13 05:12:22+02:00,8.961,11.42,
2020-04-13 05:15:22+02:00,11.73,9.22,
2020-04-13 05:18:22+02:00,8.881,10.62,
2020-04-13 05:21:23+02:00,10.512,12.62,
2020-04-13 05:24:23+02:00,8.87,13.22,
2020-04-13 05:27:23+02:00,8.964,13.82,
2020-04-13 05:30:23+02:00,11.186,13.42,
2020-04-13 05:33:23+02:00,11.818,10.42,
2020-04-13 05:36:24+02:00,9.922,9.42,
2020-04-13 05:39:24+02:00,11.73,9.02,
2020-04-13 05:42:24+02:00,11.183,8.42,
2020-04-13 05:45:24+02:00,11.141,9.62,
2020-04-13 05:48:24+02:00,10.136,6.62,
2020-04-13 05:51:25+02:00,10.34,5.42,
2020-04-13 05:54:25+02:00,10.357,6.82,
2020-04-13 05:57:25+02:00,8.374,8.62,
2020-04-13 06:00:25+02:00,11.018,9.82,
2020-04-13 06:03:26+02:00,9.873,9.62,
2020-04-13 06:06:26+02:00,8.097,8.62,
2020-04-13 06:09:26+02:00,10.618,6.62,
2020-04-13 06:12:26+02:00,9.072,7.82,
2020-04-13 06:15:26+02:00,8.712,9.22,
2020-04-13 06:18:27+02:00,11.429,8.82,
2020-04-13 06:21:27+02:00,11.178,8.62,
2020-04-13 06:24:27+02:00,10.518,9.42,
2020-04-13 06:27:27+02:00,11.906,8.42,
2020-04-13 06:30:27+02:00,10.692,8.42,
2020-04-13 06:33:28+02:00,9.675,6.02,
2020-04-13 06:36:29+02:00,9.24,6.32,
2020-04-13 06:39:29+02:00,8.681,5.72,
2020-04-13 06:42:29+02:00,9.446,5.92,
2020-04-13 06:45:29+02:00,8.698,6.12,
2020-04-13 06:48:30+02:00,11.464,5.52,
2020-04-13 06:51:30+02:00,11.24,5.12,
2020-04-13 06:54:30+02:00,9.178,6.92,
2020-04-13 06:57:30+02:00,8.219,7.12,
2020-04-13 07:00:30+02:00,9.318,6.92,
2020-04-13 07:03:31+02:00,11.095,4.32,
2020-04-13 07:06:31+02:00,11.282,3.92,
2020-04-13 07:09:31+02:00,10.602,5.52,
2020-04-13 07:12:31+02:00,11.292,5.32,
2020-04-13 07:15:31+02:00,11.684,5.12,
2020-04-13 07:18:32+02:00,11.28,6.72,
2020-04-13 07:21:32+02:00,11.176,4.92,
